composerName,birthYear,deathYear,nationality
"Grunfeld [Gruenfeld],  Alfred",1852,1924,Austro-German
"Kampela,  Arthur",,,NOT FOUND
"Curschmann,  Karl  Friedrich",1805,1841,Austro-German
"Hamelin,  Marc-André",1961,9999,North American
"Saar,  Louis  Victor",,,NOT FOUND
"Zarebski,  Juliusz",1854,1885,Polish
"Azmeh,  Kinan",1976,9999,
"Clough-Leighter,  Henry",,,NOT FOUND
"Perren, Fekaris, and Gaynor,  Freddie, Dino, and Gloria",,,NOT FOUND
"Pinkham,  Daniel",1923,2006,North American
"Arcadelt,  Jacques",1507,1568,
"Butler,  Artie",1942,9999,North American
"Reinitz,  Béla",,,NOT FOUND
"Geissel,  J.",,,NOT FOUND
"Maryon,  Edward",1931,2005,North American
"Gray,  Aiesha",,,NOT FOUND
"Brody,  Josef",,,NOT FOUND
"X,  Alfonso",1221,1284,Spanish
"Ruzicka,  Peter",1948,1948,Austro-German
"Dancla,  Jean  Charles",,,NOT FOUND
"Ripoll,  Michael  Douglas",,,NOT FOUND
"Turlet,  A.",,,NOT FOUND
"Moors,  Daniel",,,NOT FOUND
"Guitierrez [Gutiérrez] de Padilla,  Juan",,,NOT FOUND
"Bungert,  August",1845,1915,Austro-German
"Baker,  Phil",1896,1963,
"Grigoriu,  George",,,NOT FOUND
"Stewart,  Humphrey  J.",,,NOT FOUND
"Kazik,  James",,,NOT FOUND
"Mendoza y Cortés,  Quirino",1862,1957,Mexican
"Bilik,  Jerry",1933,1972,North American
"Klein,  Bruno  Oscar",1858,1911,American
"Rode,  Jacques  Pierre Joseph",,,NOT FOUND
"Williams,  Pharrell",1973,1994,North American
"Nini,  Alessandro",1805,1880,Italian
"Lipschutz,  Lita",,,NOT FOUND
"Hely-Hutchinson,  Victor",1901,1947,English
"Tuthill,  Burnet",,,NOT FOUND
"Reinthaler,  Karl",1822,1896,Austro-German
"Shaw,  David  T.",,,NOT FOUND
"Hall,  Reginald",1870,1943,English
"Mostel,  Raphael",,,NOT FOUND
"Schafer,  Dirk",1873,1931,Dutch
"Smith,  Robert  W",0,9999,
"Frackenpohl,  Arthur",1924,2019,North American
"Stern,  I. & Moshe",,,NOT FOUND
"Poot,  Marcel",1901,1988,French
"Mitchell,  Willie",1889,1973,North American
"Brixi,  Frantisek [František]  Xaver",1732,1771,Czech
"Manna Zucca,",,,NOT FOUND
"Neuwirth,  Olga",1968,9999,Austro-German
"Adams,  Samuel",1722,1803,North American
"Dresher,  Paul",1951,1994,North American
"Thomas,  Andrew",1936,2011,
"Andriessen,  Louis",1939,1959,Dutch
"Andres,  Bernard",,,NOT FOUND
"Broughton,  Bruce",1945,9999,North American
"Park,  Jong Eun  Sylvia",,,NOT FOUND
"Kalkbrenner,  Friedrich [Frédéric]",1785,1849,Austro-German
"Bodge,",0,9999,
"Szabo [Szabó],  Ferenc",1902,1969,
"Schonberg [Schönberg],  Claude-Michel",1944,1973,French
"Conti,  Bill",1942,9999,North American
"Szalowski,  Antoni",1907,1973,Polish
"Kennan,  Kent",1913,2003,North American
"Ramey,  Phillip",1939,1959,American
"Kenton,  Stan",1911,1979,North American
"Aguirre,  Julián",,,NOT FOUND
"Zhang,  Yijun",,,NOT FOUND
"Sting,",0,9999,
"Wekerlin,  Jean-Baptiste",1821,1910,French
"Hathaway and McKinnor,  Donny and Nadine",,,NOT FOUND
"Naginski,  Charles",1909,1940,North American
"Oliveros,  Pauline",1932,2016,North American
"Pesson,  Gerard [Gérard]",1958,9999,French
"Wood,  Haydn",1882,1959,English
"Griselle,  Thomas",1891,1955,North American
"Boehm,  Georg",1661,1733,Austro-German
"Parbury,",,,NOT FOUND
"Calvert,  Morley",,,NOT FOUND
"Heidrich,  Peter",,,NOT FOUND
"Barab,  Seymour",1921,2014,North American
"Chutiner,  P.",,,NOT FOUND
"Biber,  Heinrich von",,,NOT FOUND
"Koch,  Friedrich  E.",,,NOT FOUND
"Schoenberg,  Adam",1980,2010,North American
"Napoleon,  Arthur",,,NOT FOUND
"Berger,  Jean",1909,2002,American
"Valongo,  Elijah",,,NOT FOUND
"Scott,  Tom",0,9999,
"Gockel,  August",,,NOT FOUND
"Furtwangler [Furtwängler],  Wilhelm",1886,1954,Austro-German
"Frazzi,  Vito",1888,1975,Italian
"Mollison,",1928,2016,
"Moore,  Undine  Smith",1904,1989,North American
"Bensussan,  Menachem",,,NOT FOUND
"Braxton,  Tyondai",1978,2002,North American
"Soler,  Padre",1729,1783,Spanish
"Risset,  Jean-Claude",1938,2016,French
"Sullivan,  Archibald  Beresford",,,NOT FOUND
"Bergson,  Michal",1820,1898,Polish
"Sculthorpe,  Peter",1929,2014,Australian
"Quantz,  Johann  Joachim",1697,1773,Austro-German
"Bailey,  Christopher",1971,9999,
"Bate,  Stanley",1911,1959,English
"Jones,  Isham",1894,1956,North American
"Ugarte,  Floro  M(elitón)",,,NOT FOUND
"Lvovsky,",0,9999,
"Helm,  Everett",1913,1999,North American
"Luo,  Xiuying",,,NOT FOUND
"Wolcott,  Charles",1906,1987,
"Bassani,  Giovanni  Battista",1650,1716,Italian
"Wachs,  Paul",1851,1915,French
"Schertzinger,  Victor",1888,1941,North American
"Rogers,  Frederic",1811,1889,English
"Nissenson,  Gloria",,,NOT FOUND
"Moore,  Carman",,,NOT FOUND
"Rybicki,  Wojciech",1942,1959,
"Sachnowsky,  G.",,,NOT FOUND
"Oyanguren,  Julio  Martinez",,,NOT FOUND
"Vega,  Arianna",,,NOT FOUND
"Vallejo,",0,9999,
"Howe,  Hurbert",,,NOT FOUND
"Faning,  Eaton",1850,1927,English
"Bourk,  Richard  C.",,,NOT FOUND
"Harris,  Joel  Chandler",1848,1908,North American
"Hively,  Wells",,,NOT FOUND
"Atterberg,  Kurt",1887,1974,Nordic
"Schnabel,  Artur",1882,1951,North American
"Pousseur,  Henri",1929,2009,French
"Garcia,  Jerry",1942,1995,North American
"Manney,  Charles  Fonteyn",,,NOT FOUND
"Fanelli,  Ernest",1860,1917,Italian
"Pierce,  Seneca",,,NOT FOUND
"Wilbye,  John",1574,1638,English
"Pascuzzi,  Gregory",,,NOT FOUND
"Alcock,  Gilbert",,,NOT FOUND
"Saar,  Wiiliam",,,NOT FOUND
"Pasculli,  Antonio",1842,1924,Italian
"Jacobson,  Colin",,,NOT FOUND
"Weiss,  George  David",1921,2010,North American
"Gauntlett,  Henry  John",1805,1876,English
"Cresswell & McNicholas,  Luke & Steve",,,NOT FOUND
"Dalgleish,  James",1891,1964,
"Shmerler,  Harry",,,NOT FOUND
"Matthews,  Artie",1888,1958,North American
"Kouyoumdjian,  Mary",,,NOT FOUND
"Sakovich,",0,9999,Polish
"Amy,  Gilbert",1936,9999,French
"Velazquez,  Consuelo",1916,2005,Mexican
"Ferrao,",,,NOT FOUND
"Rountree,  Christopher",2012,2009,North American
"Genzmer,  Harald",1909,2007,Austro-German
"Arndt,  Felix",1889,1918,North American
"Rucken,",,,NOT FOUND
"Ewald,  Victor",1860,1935,Russian
"Fritts,  Lawrence",,,NOT FOUND
"Helfter,  Walter",,,NOT FOUND
"Dolby,  Nuha",,,NOT FOUND
"Fahrbach,  Philipp",,,NOT FOUND
"Anderson,  Florence",1893,1972,English
"Wagner,  Joseph",1853,1706,
"Perkinson,  Coleridge-Taylor",1932,2004,North American
"Lara,  Felipe",,,NOT FOUND
"Mailman,  Joshua",,,NOT FOUND
"Wang,  A-Mao",,,NOT FOUND
"Grimm,  Julius  Otto",1827,1903,
"Paer,  Ferdinando",1771,1839,Austro-German
"Gradener [Grädener],  Hermann",,,NOT FOUND
"Chan,  Ka  Nin",1949,1971,Chinese
"Kallinnikof,  Ivanof",,,NOT FOUND
"Misraki,  Paul",1908,1998,French
"Bordese,  Luigi",,,NOT FOUND
"Daniels,  Mabel  Wheeler",1877,1971,North American
"Gardner,  Samuel",1891,1984,American
"Cohen,  Edward",1822,1877,Australian
"Cook,  Will  Marion",1869,1944,North American
"Cline,  Nicholas",,,NOT FOUND
"Coots,  J.  Fred",1897,1985,North American
"Dempster,  Thomas",1579,1625,
"Choi,  Sophia",0,9999,North American
"Montalti,  Vittorio",,,NOT FOUND
"Savine,  Alexander",,,NOT FOUND
"Camilieri,  Lorenzo",,,NOT FOUND
"Schindelmeisser,  Ludwig",,,NOT FOUND
"Egge,  Klauss",,,NOT FOUND
"Ronald,  Langdon",,,NOT FOUND
"Rawsthorne,  Noel",1929,2019,English
"Slonimsky,  Sergei",1932,9999,Russian
"Shand, Terry & Eaton, Jimmy,",,,NOT FOUND
"Orbon,  Julian",1925,1991,
"Glover,  Charles  William",1806,1863,English
"Felsenfeld,  Daniel",1970,9999,
"Kekeu,",,,NOT FOUND
"Le Roy,  Henri  Leon",,,NOT FOUND
"Clarke,  Rebecca",1886,1979,
"Rutter,  John",1945,9999,English
"Ovadia,",1979,1946,
"Morris,  Harold",1890,1964,
"Nelson,  Ron",1929,1946,
"Reynolds,  Roger",1934,1961,North American
"Valjean,  Paul",,,NOT FOUND
"Otten,  William  F.",,,NOT FOUND
"Ferrabosco,  Alfonso",1543,1588,
"James,  Dijon",,,NOT FOUND
"Heinefetter,  Wilhelm",,,NOT FOUND
"Lennertz,  Christopher",1972,2007,North American
"Torelli,  Giuseppe",1658,1709,Italian
"Stein,  Andy",1976,1977,North American
"Camilo,  Michel",1954,9999,
"Klemperer,  Otto",1885,1973,Austro-German
"Klein,  John  M.",,,NOT FOUND
"Di Crescenza,",,,NOT FOUND
"Stafylakis,  Haralabos [ Harry ]",,,NOT FOUND
"Lincke,  Paul",1866,1946,Austro-German
"Spendiaryan,  Alexander",1871,1928,Russian
"Jadassohn,  Salomon",1831,1902,Austro-German
"Mitropoulos,  Dimitri",1896,1960,Greek
"Di Candriano,  Prince  Camillo  Ruspoli",,,NOT FOUND
"Lara,  Agustín",1897,1900,Spanish
"Dessauer,  Josef",1798,1876,Austro-German
"Blaudziunas,  Gabija",,,NOT FOUND
"Mackenna,  Carmela",1879,1962,
"Wells,  John  Barnes",1880,1935,North American
"Parsons,  Michael",1938,1984,
"Thalberg,  Sigismond",1812,1871,
"May,  Robert  C.",,,NOT FOUND
"Wright,  Rayburn",1922,1990,North American
"Goldsmith,  Jerry",1929,2004,North American
"Silvers,  Dolores Vicki",,,NOT FOUND
"Crist,  Bainbridge",1883,1969,North American
"Marshall,  Ingram",1942,9999,North American
"Yan,  Hai-Deng",,,NOT FOUND
"Pfeffer,  Walter",,,NOT FOUND
"Mochizuki,  Misato",,,NOT FOUND
"Frey,  M.",,,NOT FOUND
"Ranjbaran,  Behzad",1955,9999,Persian
"Stoughton,  Roy  Spaulding",,,NOT FOUND
"Georges,  Alexandre",1850,1938,French
"Pfeiffer,  Georges  Jean",,,NOT FOUND
"Ludwig,  David",1974,9999,
"Flecha,  Mateo, El Viejo",,,NOT FOUND
"Knight,  Edward",1774,1826,
"Gerber,  Stephen",1947,2008,North American
"Breil,  Joseph  C.",,,NOT FOUND
"Frankle,  George",,,NOT FOUND
"Barrière ,  Jean-Baptiste",1958,1958,French
"Heidelberger,  Nathan",,,NOT FOUND
"Glick,  Srul  Irving",1934,2002,North American
"Coleman,  Cy",1929,2004,North American
"Moriwaki,  Yosuke",,,NOT FOUND
"Milan [Milán],  Luys",,,NOT FOUND
"Jacobsen,  Colin",1937,9999,Australian
"Segerstrom,  Eric",,,NOT FOUND
"Lucas,  Mary  Anderson",1882,1952,English
"Anastasio, Trey, and Hart, Don,",,,NOT FOUND
"Kim-Suzuki,  Saya",,,NOT FOUND
"Steiner,  George",1929,1974,North American
"Battishill,  Jonathan",1738,1801,English
"Purrington,  Hilary",,,NOT FOUND
"Barnaby,  Gunn",,,NOT FOUND
"Yasinowski,  P.",,,NOT FOUND
