composerName,birthYear,deathYear,nationality
"Sweelinck,  Jan  Pieterszoon",1562,1621,Dutch
"Tower,  Joan",1938,1981,North American
"Wolpe,  Stefan",1902,1972,Austro-German
"Lara,  Manuel  Manrique De",,,NOT FOUND
"Starer,  Robert",1924,2001,North American
"Barbirolli,  John",1899,1970,English
"Turner,  Charles",0,9999,
"McCartney,  Sir  Paul",1942,1970,English
"Hollaender,  Friedrich",1896,1976,Austro-German
"Lieberson,  Peter",1946,2011,North American
"Husa,  Karel",1921,2016,North American
"Bishop,  Sir  Henry  Rowley",1786,1855,English
"Chapi (y Lorente),  Ruperto",,,NOT FOUND
"Drigo,  Riccardo",1846,1930,Italian
"Damase,  Jean-Michel",1928,2013,French
"MacMillan,  James",1959,9999,
"Minkus,  Leon",1826,1917,Austro-German
"Petrassi,  Goffredo",1904,2003,Italian
"Haydn,  Michael",1737,1806,Austro-German
"Smith,  Hale",1925,2009,North American
"Blacher,  Boris",1903,1975,Austro-German
"North,  Alex",1910,1991,North American
"Boieldieu,  François-Adrien",1775,1834,French
"Perpessas,  Harilaos",1907,1995,Greek
"Young,  Victor",1900,1956,North American
"Ropartz,  Joseph  Guy",1864,1955,French
"Paert [Pärt],  Arvo",1935,1977,Estonian
"Bacewicz,  Grazyna",1909,1969,Polish
"Bliss,  Arthur",1891,1975,English
"Keler-Bela [Kéler-Béla],",,,NOT FOUND
"Bock,  Jerry",1928,2010,North American
"Von Blon,  Franz",,,NOT FOUND
"Sanders,  Robert  L.",,,NOT FOUND
"Einem,  Gottfried  Von",,,NOT FOUND
"Tizol,  Juan",1900,1984,
"Bloom,  Rube",1902,1976,North American
"Mohaupt,  Richard",1904,1957,Austro-German
"Ries,  Franz",1846,1932,Austro-German
"Bottesini,  Giovanni",1821,1889,Italian
"Bernard,  Felix",1897,1944,North American
"Shulman,  Alan",1915,2002,North American
"Sokolov,  Nikolai  Alexandrovich",,,NOT FOUND
"Falck,  Edward",,,NOT FOUND
"David,  Felicien  Cesar",1810,1876,French
"Gimenez,  Jeronimo",1854,1923,Spanish
"Fibich,  Zdenko",1850,1900,Czech
"Goodman,  Saul",0,9999,
"Schutz,  Heinrich",1585,1672,Italian
"Smith,  John  Stafford",1750,1836,English
"Morricone,  Andrea and Ennio",,,NOT FOUND
"Brown,  Earle",1926,2002,North American
"Marks,  Johnny",1909,1985,North American
"Ganne,  Louis",1862,1923,French
"Franklyn,  Milt",1897,1962,
"Andres,  Timo",1985,9999,North American
"La Forge,  Frank",1879,1953,North American
"Dorman,  Avner",1975,9999,
"Shapero,  Harold",1920,2013,North American
"Muhly,  Nico",1981,9999,North American
"Marquina,  Pasquale",,,NOT FOUND
"Rochberg,  George",1918,2005,North American
"Fourdrain,  Félix  Alfred",,,NOT FOUND
"Schulz,  Leo",1865,1944,American
"Scott,  Raymond",1908,1994,North American
"Haufrecht,  Herbert",,,NOT FOUND
"Glass,  Philip",1937,9999,North American
"Sammartini,  Giovanni  B.",,,NOT FOUND
"Monsigny,  Pierre  Alexandre",,,NOT FOUND
"Tomasi,  Henri",1901,1971,French
"Iturbi,  Jose",1895,1980,Spanish
"Dopper,  Cornelius",,,NOT FOUND
"Noon,  David",1946,9999,
"Matthus,  Siegfried",1934,9999,Austro-German
"Mengelberg,  Willem",1871,1951,Dutch
"Hopkins,  John  Henry",1792,1868,
"Halevy [Halévy],  Fromental",1799,1862,French
