,birthYear,deathYear
"Shulman,  Alan",1915.0,2002.0
"Sokolov,  Nikolai  Alexandrovich",,
"Falck,  Edward",,
"David,  Felicien  Cesar",1810.0,1876.0
"Gimenez,  Jeronimo",1854.0,1923.0
"Fibich,  Zdenko",1850.0,1900.0
"Goodman,  Saul",0.0,9999.0
"Schutz,  Heinrich",1585.0,1672.0
"Smith,  John  Stafford",1750.0,1836.0
"Morricone,  Andrea and Ennio",,
"Brown,  Earle",1926.0,2002.0
"Marks,  Johnny",1909.0,1985.0
"Ganne,  Louis",1862.0,1923.0
"Franklyn,  Milt",1897.0,1962.0
"Andres,  Timo",1985.0,9999.0
"La Forge,  Frank",1879.0,1953.0
"Dorman,  Avner",1975.0,9999.0
"Shapero,  Harold",1920.0,2013.0
"Muhly,  Nico",1981.0,9999.0
"Marquina,  Pasquale",,
"Rochberg,  George",1918.0,2005.0
"Fourdrain,  Félix  Alfred",,
"Schulz,  Leo",1865.0,1944.0
"Scott,  Raymond",1908.0,1994.0
"Haufrecht,  Herbert",,
"Glass,  Philip",1937.0,9999.0
"Sammartini,  Giovanni  B.",,
"Monsigny,  Pierre  Alexandre",,
"Tomasi,  Henri",1901.0,1971.0
"Iturbi,  Jose",1895.0,1980.0
"Dopper,  Cornelius",,
"Noon,  David",1946.0,9999.0
"Matthus,  Siegfried",1934.0,9999.0
"Mengelberg,  Willem",1871.0,1951.0
"Hopkins,  John  Henry",1792.0,1868.0
"Halevy [Halévy],  Fromental",1799.0,1862.0
"Gruber,  HK",1943.0,9999.0
"Waxman,  Franz",1906.0,1967.0
"Bantock,  Granville",1868.0,1946.0
"Lunsqui,  Alexandre",,
"Nevin,  Ethelbert",1862.0,1901.0
"Carey,  Mariah",1969.0,1970.0
"Hartmann,  Karl  Amadeus",1905.0,1963.0
"Jessel,  Leon",1871.0,1942.0
"O'Brien,  Jake",1984.0,2005.0
